File Path,Entry Name,Entry Index,English,Vietnamese
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3000_10_000,0,Glasses (Rectangle),Kính (Hình chữ nhật)
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3001_10_000,2,Glasses (Windsor),Kính (Windsor)
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3002_10_000,4,Glasses (Round),Kính (Tròn)
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3100_10_000,6,Sunglasses (Windsor),Kính râm (Windsor)
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3101_10_000,8,Sunglasses (Oversized),Kính râm (Quá khổ)
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3102_10_000,10,Sunglasses (Browline),Kính râm (Browline)
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3200_10_000,12,Face Paint,Sơn mặt
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3300_10_000,14,Countess Set,Bộ Nữ Bá Tước
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3400_10_000,16,Cute Bear Earring,Bông tai gấu dễ thương
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3500_20_000,18,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_Accessory_Name_ac3500_20_000,
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Caption_ac3500_20_000,19,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_Accessory_Caption_ac3500_20_000,
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3600_30_000,20,Hair Color (Blonde),Màu tóc (Vàng)
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3601_30_000,22,Hair Color (Green),Màu tóc (Xanh)
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3602_30_000,24,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_Accessory_Name_ac3602_30_000,
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Caption_ac3602_30_000,25,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_Accessory_Caption_ac3602_30_000,
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3700_10_000,26,Chicken Hat,Mũ gà
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Caption_ac3700_10_000,27,<REF CH_Mes_Main_StatusEffectID_00_100_020_0>,
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3800_20_000,28,Wolf Set,Bộ sói
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Caption_ac3800_20_000,29,<REF CH_Mes_Main_StatusEffectID_00_100_010_0>,
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac3900_10_000,30,Cat Set,Bộ mèo
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Caption_ac3900_10_000,31,<REF CH_Mes_Main_StatusEffectID_00_100_000_0>,
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Name_ac4000_10_000,32,Bear Hat,Mũ gấu
natives\stm\_anotherorder\message\mes_main_accessory\ao_mes_main_accessory.msg.22,AO_Mes_Main_Accessory_Caption_ac4000_10_000,33,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_Accessory_Caption_ac4000_10_000,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp11.msg.22,AO_Mes_Main_CamDemo_Vo_cp11_0001,0,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp11_0001,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp11.msg.22,AO_Mes_Main_CamDemo_Vo_cp11_0001_0010_cha200,1,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp11_0001_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp11.msg.22,AO_Mes_Main_CamDemo_Vo_cp11_0002_0010_cha200,3,Saddler... The leader of the cult.,Saddler... Kẻ cầm đầu giáo phái.
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0001,0,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0001,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0001_0010_cha200,1,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0001_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0002_0010_cha200,3,I think I'll pass.,Tôi nghĩ tôi sẽ bỏ qua.
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0003_0010_cha200,5,Rotten.,Mục nát.
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0004_0010_cha200,7,Burning flesh... I thought I'd left that life behind.,Mùi thịt cháy... Tôi tưởng mình đã bỏ lại cuộc sống đó.
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0005,8,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0005,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0005_0010_cha200,9,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0005_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0006,10,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0006,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0006_0010_cha200,11,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0006_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0007,12,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0007,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0007_0010_cha200,13,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0007_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0008_0010_cha200,15,At least their holy book looks interesting.,Ít nhất thì cuốn sách thánh của chúng trông cũng thú vị.
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0009,16,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0009,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0009_0010_cha200,17,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0009_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0010_0010_cha200,19,"Fly, my pretty.","Bay đi, cưng ơi."
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0011,20,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0011,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0011_0010_cha200,21,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0011_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0012,22,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0012,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0012_0010_cha200,23,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0012_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0013,24,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0013,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0013_0010_cha200,25,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0013_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0014,26,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0014,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0014_0010_cha200,27,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0014_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0015,28,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0015,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0015_0010_cha200,29,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0015_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0016,30,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0016,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0016_0010_cha200,31,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0016_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0017,32,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0017,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0017_0010_cha200,33,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0017_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0018_0010_cha200,35,Did Luis do this?,Luis làm cái này à?
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0019,36,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0019,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0019_0010_cha200,37,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0019_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0020,38,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0020,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0020_0010_cha200,39,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0020_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0021,40,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0021,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0021_0010_cha200,41,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp21_0021_0010_cha200,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp21.msg.22,AO_Mes_Main_CamDemo_Vo_cp21_0022_0010_cha200,43,This could use some cleaning.,Cái này cần được lau dọn.
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp22.msg.22,AO_Mes_Main_CamDemo_Vo_cp22_0001,0,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp22_0001,
natives\stm\_anotherorder\message\mes_main_camdemo\ao_mes_main_camdemo_vo_cp22.msg.22,AO_Mes_Main_CamDemo_Vo_cp22_0001_0010_cha200,1,<COLOR FF0000>#Rejected#</COLOR> AO_Mes_Main_CamDemo_Vo_cp22_0001_0010_cha200,
